Date,ABBIGERE,AGARA,AKSHAYANAGARA,ALLALASANDRA
01-01-2010,2293,715,2013,2496
02-01-2010,2252,713,2037,2486
03-01-2010,2214,711,2061,2486
04-01-2010,2182,709,2085,2479
05-01-2010,2150,707,2108,2472
06-01-2010,2116,705,2129,2465
07-01-2010,2082,703,2143,2458
08-01-2010,2056,701,2152,2451
09-01-2010,2031,699,2160,2443
10-01-2010,2006,698,2175,2436
11-01-2010,1980,697,2189,2429
12-01-2010,1955,695,2203,2422
13-01-2010,1931,695,2218,2415
14-01-2010,1908,695,2232,2408
15-01-2010,1884,695,2248,2401
16-01-2010,1865,695,2259,2394
17-01-2010,1860,695,2254,2387
18-01-2010,1855,695,2248,2379
19-01-2010,1848,695,2234,2372
20-01-2010,1821,695,2234,2365
21-01-2010,1788,695,2243,2358
22-01-2010,1763,695,2257,2351
23-01-2010,1737,694,2268,2344
24-01-2010,1709,693,2279,2337
25-01-2010,1682,692,2291,2328
26-01-2010,1655,690,2300,2319
27-01-2010,1626,689,2303,2310
28-01-2010,1598,688,2311,2300
29-01-2010,1572,687,2318,2289
30-01-2010,1546,687,2326,2277
31-01-2010,1520,686,2333,2266
01-02-2010,1493,686,2342,2254
02-02-2010,1467,686,2351,2243
03-02-2010,1446,686,2359,2232
04-02-2010,1430,685,2367,2220
05-02-2010,1422,685,2375,2209
06-02-2010,1414,684,2382,2198
07-02-2010,1406,684,2390,2187
08-02-2010,1410,684,2396,2175
09-02-2010,1416,682,2401,2164
10-02-2010,1422,682,2407,2153
11-02-2010,1430,681,2413,2141
12-02-2010,1436,680,2421,2130
13-02-2010,1446,679,2428,2124
14-02-2010,1460,678,2436,2113
15-02-2010,1475,676,2444,2102
16-02-2010,1487,674,2451,2091
17-02-2010,1502,672,2459,2080
18-02-2010,1518,669,2469,2069
19-02-2010,1535,668,2479,2058
20-02-2010,1559,666,2489,2047
21-02-2010,1587,664,2499,2036
22-02-2010,1613,661,2509,2025
23-02-2010,1635,660,2519,2015
24-02-2010,1660,658,2528,2004
25-02-2010,1682,656,2538,1994
26-02-2010,1700,655,2548,1983
27-02-2010,1719,653,2559,1973
28-02-2010,1739,652,2569,1964
01-03-2010,1758,651,2579,1956
02-03-2010,1772,650,2589,1947
03-03-2010,1781,648,2599,1937
04-03-2010,1788,647,2607,1926
05-03-2010,1802,645,2616,1916
06-03-2010,1817,644,2624,1906
07-03-2010,1833,641,2632,1895
08-03-2010,1853,640,2640,1885
09-03-2010,1872,625,2659,1875
10-03-2010,1889,608,2684,1869
11-03-2010,1899,590,2692,1873
12-03-2010,1913,573,2697,1883
13-03-2010,1926,555,2701,1893
14-03-2010,1936,534,2707,1906
15-03-2010,1945,511,2716,1920
16-03-2010,1953,488,2724,1935
17-03-2010,1963,466,2732,1949
18-03-2010,1968,443,2741,1954
19-03-2010,1975,420,2749,1964
20-03-2010,1980,398,2757,1975
21-03-2010,1983,377,2763,1975
22-03-2010,1988,358,2769,2000
23-03-2010,1990,341,2771,2015
24-03-2010,2000,324,2773,2030
25-03-2010,2011,305,2777,2047
26-03-2010,2026,289,2778,2065
27-03-2010,2041,276,2777,2082
28-03-2010,2054,263,2777,2100
29-03-2010,2059,250,2775,2117
30-03-2010,2059,238,2773,2135
31-03-2010,2059,226,2771,2150
01-04-2010,2054,214,2769,2166
02-04-2010,2046,202,2765,2182
03-04-2010,2028,191,2761,2198
04-04-2010,2000,179,2759,2211
05-04-2010,1968,169,2755,2225
06-04-2010,1938,161,2748,2238
07-04-2010,1908,153,2739,2252
08-04-2010,1874,146,2730,2268
09-04-2010,1843,141,2720,2282
10-04-2010,1812,136,2707,2296
11-04-2010,1795,131,2695,2310
12-04-2010,1763,126,2682,2310
13-04-2010,1730,122,2669,2324
14-04-2010,1698,117,2657,2337
15-04-2010,1666,112,2642,2351
16-04-2010,1635,109,2628,2363
17-04-2010,1606,105,2613,2375
18-04-2010,1578,103,2597,2387
19-04-2010,1548,100,2589,2398
20-04-2010,1518,98,2563,2410
21-04-2010,1491,95,2544,2422
22-04-2010,1462,93,2524,2434
23-04-2010,1432,92,2505,2446
24-04-2010,1404,90,2485,2458
25-04-2010,1394,89,2465,2463
26-04-2010,1389,87,2446,2453
27-04-2010,1383,87,2424,2441
28-04-2010,1375,86,2405,2429
29-04-2010,1369,85,2386,2417
30-04-2010,1363,84,2365,2391
01-05-2010,1356,84,2344,2379
02-05-2010,1350,83,2324,2368
03-05-2010,1342,82,2303,2355
04-05-2010,1336,81,2285,2344
05-05-2010,1331,80,2265,2333
06-05-2010,1323,80,2244,2319
07-05-2010,1318,78,2225,2305
08-05-2010,1310,78,2207,2294
09-05-2010,1305,77,2187,2280
10-05-2010,1297,76,2169,2268
11-05-2010,1292,75,2152,2257
12-05-2010,1284,75,2134,2245
13-05-2010,1279,74,2118,2233
14-05-2010,1273,73,2101,2222
15-05-2010,1266,72,2085,2211
16-05-2010,1261,72,2068,2200
17-05-2010,1253,72,2051,2189
18-05-2010,1246,72,2033,2178
19-05-2010,1241,73,2063,2200
20-05-2010,1262,96,2175,2241
21-05-2010,1257,98,2175,2229
22-05-2010,1252,98,2160,2218
23-05-2010,1246,98,2145,2207
24-05-2010,1241,98,2129,2196
25-05-2010,1236,98,2113,2184
26-05-2010,1229,98,2097,2173
27-05-2010,1223,98,2082,2162
28-05-2010,1218,98,2064,2150
29-05-2010,1213,98,2049,2139
30-05-2010,1206,98,2033,2128
31-05-2010,1201,98,2018,2117
01-06-2010,1195,98,2004,2106
02-06-2010,1190,98,1989,2095
03-06-2010,1183,98,1974,2084
04-06-2010,1177,98,1958,2074
05-06-2010,1170,97,1945,2063
06-06-2010,1163,97,1931,2052
07-06-2010,1157,97,1918,2041
08-06-2010,1150,97,1903,2030
09-06-2010,1143,97,1889,2019
10-06-2010,1147,97,1876,2009
11-06-2010,1142,97,1863,1998
12-06-2010,1137,97,1848,1987
13-06-2010,1132,97,1833,1977
14-06-2010,1127,97,1818,1966
15-06-2010,1122,97,1803,1956
16-06-2010,1117,97,1790,1945
17-06-2010,1112,97,1776,1935
18-06-2010,1107,97,1761,1924
19-06-2010,1101,97,1746,1914
20-06-2010,1096,97,1732,1904
21-06-2010,1092,97,1717,1893
22-06-2010,1087,97,1703,1883
23-06-2010,1082,97,1689,1873
24-06-2010,1077,97,1674,1863
25-06-2010,1073,97,1660,1853
26-06-2010,1068,97,1646,1842
27-06-2010,1064,97,1630,1842
28-06-2010,1064,100,1642,1899
29-06-2010,1059,100,1628,1900
30-06-2010,1054,100,1614,1893
01-07-2010,1050,100,1600,1881
02-07-2010,1045,100,1587,1871
03-07-2010,1041,100,1573,1861
04-07-2010,1036,100,1560,1851
05-07-2010,1032,100,1546,1840
06-07-2010,1032,100,1532,1840
07-07-2010,1036,100,1518,1840
08-07-2010,1032,99,1504,1830
09-07-2010,1027,99,1489,1820
10-07-2010,1029,99,1476,1810
11-07-2010,1024,99,1462,1800
12-07-2010,1020,99,1449,1790
13-07-2010,1026,99,1440,1790
14-07-2010,1021,99,1431,1780
15-07-2010,1017,99,1418,1770
16-07-2010,1013,99,1406,1760
17-07-2010,1036,101,1397,1750
18-07-2010,1064,110,1461,1750
19-07-2010,1071,115,1468,1750
20-07-2010,1076,120,1461,1740
21-07-2010,1093,130,1457,1740
22-07-2010,1095,138,1451,1730
23-07-2010,1090,140,1442,1719
24-07-2010,1085,140,1428,1708
25-07-2010,1082,140,1415,1697
26-07-2010,1077,140,1402,1686
27-07-2010,1073,140,1387,1675
28-07-2010,1079,140,1381,1675
29-07-2010,1077,140,1367,1666
30-07-2010,1095,145,1374,1666
31-07-2010,1103,150,1381,1656
01-08-2010,1098,155,1381,1646
02-08-2010,1093,159,1368,1637
03-08-2010,1088,163,1355,1628
04-08-2010,1082,167,1342,1619
05-08-2010,1077,171,1329,1610
06-08-2010,1073,171,1315,1601
07-08-2010,1068,171,1301,1592
08-08-2010,1064,171,1288,1583
09-08-2010,1059,171,1274,1583
10-08-2010,1056,171,1260,1574
11-08-2010,1051,171,1246,1565
12-08-2010,1047,171,1232,1556
13-08-2010,1064,171,1223,1546
14-08-2010,1074,171,1214,1546
15-08-2010,1071,171,1201,1537
16-08-2010,1067,171,1201,1528
17-08-2010,1062,171,1192,1519
18-08-2010,1085,174,1198,1546
19-08-2010,1109,180,1210,1587
20-08-2010,1109,186,1210,1604
21-08-2010,1112,192,1216,1626
22-08-2010,1130,196,1226,1668
23-08-2010,1153,230,1282,1702
24-08-2010,1180,247,1339,1749
25-08-2010,1202,257,1419,1759
26-08-2010,1225,267,1452,1759
27-08-2010,1225,270,1463,1759
28-08-2010,1222,270,1463,1751
29-08-2010,1218,270,1455,1743
30-08-2010,1255,270,1446,1735
31-08-2010,1264,270,1437,1735
01-09-2010,1264,270,1428,1727
02-09-2010,1261,270,1416,1719
03-09-2010,1266,273,1421,1711
04-09-2010,1262,273,1421,1703
05-09-2010,1259,273,1421,1703
06-09-2010,1255,273,1421,1703
07-09-2010,1252,273,1421,1695
08-09-2010,1248,273,1416,1687
09-09-2010,1243,273,1408,1679
10-09-2010,1286,286,1416,1687
11-09-2010,1299,316,1421,1687
12-09-2010,1301,329,1421,1679
13-09-2010,1301,345,1421,1679
14-09-2010,1306,361,1421,1679
15-09-2010,1314,367,1421,1671
16-09-2010,1316,370,1421,1663
17-09-2010,1318,371,1409,1655
18-09-2010,1318,373,1409,1647
19-09-2010,1316,373,1402,1639
20-09-2010,1314,373,1392,1631
21-09-2010,1312,373,1381,1623
