Date,ABBIGERE,AGARA,AKSHAYANAGARA,ALLALASANDRA
01-01-2010,0,0,0,0
02-01-2010,0,0,0,0
03-01-2010,0,0,0,0
04-01-2010,0,0,0,0
05-01-2010,0,0,0,0
06-01-2010,0,0,0,0
07-01-2010,0,0,0,0
08-01-2010,0,0,0,0
09-01-2010,0,1,2,1
10-01-2010,0,0,0,0
11-01-2010,0,0,0,0
12-01-2010,0,0,0,0
13-01-2010,0,0,0,0
14-01-2010,3,0,0,0
15-01-2010,0,0,0,0
16-01-2010,0,0,0,0
17-01-2010,0,0,0,0
18-01-2010,0,0,0,0
19-01-2010,0,0,0,0
20-01-2010,0,0,0,0
21-01-2010,0,0,0,0
22-01-2010,0,0,0,0
23-01-2010,0,0,0,0
24-01-2010,0,0,0,0
25-01-2010,0,0,0,0
26-01-2010,0,0,0,0
27-01-2010,0,0,0,0
28-01-2010,0,0,0,0
29-01-2010,0,0,0,0
30-01-2010,0,0,0,0
31-01-2010,0,0,0,0
01-02-2010,0,0,0,0
02-02-2010,0,0,0,0
03-02-2010,0,0,0,0
04-02-2010,0,0,0,0
05-02-2010,0,0,0,0
06-02-2010,0,0,0,0
07-02-2010,0,0,0,0
08-02-2010,0,0,0,0
09-02-2010,0,0,0,0
10-02-2010,0,0,0,0
11-02-2010,0,0,0,0
12-02-2010,0,0,0,0
13-02-2010,0,0,0,0
14-02-2010,0,0,0,0
15-02-2010,0,0,0,0
16-02-2010,0,0,0,0
17-02-2010,0,0,0,0
18-02-2010,0,0,0,0
19-02-2010,0,0,0,0
20-02-2010,0,0,0,0
21-02-2010,0,0,0,0
22-02-2010,0,0,0,0
23-02-2010,0,0,0,0
24-02-2010,0,0,0,0
25-02-2010,0,0,0,0
26-02-2010,0,0,0,0
27-02-2010,0,0,0,0
28-02-2010,0,0,0,0
01-03-2010,0,0,0,0
02-03-2010,0,0,0,0
03-03-2010,0,0,0,0
04-03-2010,0,0,0,0
05-03-2010,0,0,0,0
06-03-2010,0,0,0,0
07-03-2010,0,0,0,0
08-03-2010,0,0,0,0
09-03-2010,0,0,0,0
10-03-2010,0,0,0,0
11-03-2010,0,0,0,0
12-03-2010,0,0,0,0
13-03-2010,0,0,0,0
14-03-2010,0,0,0,0
15-03-2010,0,0,0,0
16-03-2010,0,0,0,0
17-03-2010,0,0,0,0
18-03-2010,0,0,0,0
19-03-2010,0,0,0,0
20-03-2010,0,0,0,0
21-03-2010,0,0,0,0
22-03-2010,0,0,0,0
23-03-2010,0,0,0,0
24-03-2010,0,0,0,0
25-03-2010,0,0,0,0
26-03-2010,0,0,0,0
27-03-2010,0,0,0,0
28-03-2010,0,0,0,0
29-03-2010,0,0,0,0
30-03-2010,0,0,0,0
31-03-2010,0,0,0,0
01-04-2010,0,0,0,0
02-04-2010,0,0,0,0
03-04-2010,0,0,0,0
04-04-2010,0,0,0,0
05-04-2010,0,0,0,0
06-04-2010,0,0,0,0
07-04-2010,0,0,0,0
08-04-2010,0,0,0,0
09-04-2010,0,0,0,0
10-04-2010,0,0,0,0
11-04-2010,0,0,0,0
12-04-2010,0,0,0,0
13-04-2010,0,0,0,0
14-04-2010,0,0,0,0
15-04-2010,0,0,0,0
16-04-2010,0,0,0,0
17-04-2010,0,0,0,0
18-04-2010,0,0,0,0
19-04-2010,0,0,0,0
20-04-2010,0,0,0,0
21-04-2010,0,0,0,0
22-04-2010,0,0,0,0
23-04-2010,0,0,0,0
24-04-2010,0,0,0,0
25-04-2010,0,0,0,0
26-04-2010,0,0,0,0
27-04-2010,0,0,0,0
28-04-2010,0,0,0,0
29-04-2010,0,0,0,0
30-04-2010,0,0,0,0
01-05-2010,1,2,2,5
02-05-2010,0,2,0,6
03-05-2010,0,0,0,0
04-05-2010,0,0,0,0
05-05-2010,1,0,0,0
06-05-2010,1,0,0,0
07-05-2010,0,0,0,0
08-05-2010,0,0,0,0
09-05-2010,0,0,0,0
10-05-2010,0,0,0,0
11-05-2010,0,0,0,0
12-05-2010,0,0,0,0
13-05-2010,0,0,0,0
14-05-2010,0,0,0,0
15-05-2010,0,0,0,0
16-05-2010,0,0,0,0
17-05-2010,0,0,0,0
18-05-2010,0,0,0,0
19-05-2010,13,28,71,44
20-05-2010,86,130,143,65
21-05-2010,0,0,0,0
22-05-2010,0,0,0,0
23-05-2010,0,0,0,0
24-05-2010,0,0,0,0
25-05-2010,0,0,0,0
26-05-2010,0,0,0,0
27-05-2010,0,0,0,0
28-05-2010,0,0,0,0
29-05-2010,0,0,0,0
30-05-2010,0,0,0,0
31-05-2010,0,0,0,0
01-06-2010,0,0,0,0
02-06-2010,0,0,0,0
03-06-2010,0,0,0,0
04-06-2010,0,0,0,0
05-06-2010,0,5,10,0
06-06-2010,0,0,0,5
07-06-2010,3,0,0,1
08-06-2010,2,0,0,0
09-06-2010,12,11,8,0
10-06-2010,13,4,22,8
11-06-2010,0,0,0,1
12-06-2010,2,8,6,0
13-06-2010,1,0,0,2
14-06-2010,2,0,0,0
15-06-2010,0,0,0,0
16-06-2010,0,0,0,0
17-06-2010,0,0,0,0
18-06-2010,0,0,0,0
19-06-2010,0,0,0,0
20-06-2010,0,0,0,0
21-06-2010,0,0,0,0
22-06-2010,0,5,1,0
23-06-2010,0,0,0,0
24-06-2010,0,0,0,0
25-06-2010,0,0,0,0
26-06-2010,1,0,0,3
27-06-2010,3,2,0,18
28-06-2010,38,84,75,50
29-06-2010,0,0,0,0
30-06-2010,0,0,0,0
01-07-2010,0,0,0,0
02-07-2010,0,0,0,0
03-07-2010,0,0,0,0
04-07-2010,0,0,0,0
05-07-2010,3.4,2,0,4
06-07-2010,3.4,11,17,4
07-07-2010,5.6,0,1,11
08-07-2010,0,0,0,3
09-07-2010,0,2,0,0
10-07-2010,3,0,0,0
11-07-2010,0,0,0,0
12-07-2010,0,0,0,0
13-07-2010,11.6,17,38,24
14-07-2010,0,0,0,0
15-07-2010,0,0,0,0
16-07-2010,0,0,0,0
17-07-2010,33.4,47,15,4
18-07-2010,48.6,110,50,18
19-07-2010,18.4,9,12,7
20-07-2010,4.8,4,4,3
21-07-2010,17.6,33,20,10
22-07-2010,2.6,0,0,3
23-07-2010,0,0,0,0
24-07-2010,0,0,0,0
25-07-2010,0,0,0,0
26-07-2010,0,0,0,0
27-07-2010,0,0,0,0
28-07-2010,10.4,4,9.6,6
29-07-2010,1.4,4,7.4,2
30-07-2010,23,80,49,13
31-07-2010,21,30,22,0
01-08-2010,0.6,0,3.6,0
02-08-2010,0,0,0,0
03-08-2010,0,0,0,0
04-08-2010,0,0,0,0
05-08-2010,0,0,0,0
06-08-2010,0,0,0,0
07-08-2010,0,0,0,0
08-08-2010,1,1,6,0
09-08-2010,0,0,1,12
10-08-2010,0,0,0,0
11-08-2010,0,0,0,0
12-08-2010,0,0,0,0
13-08-2010,32,9,15,0
14-08-2010,26,2,8,5
15-08-2010,0,0,0,0
16-08-2010,0,27,36,0
17-08-2010,0,0,0,0
18-08-2010,50,45,42,68
19-08-2010,35,16,45,35
20-08-2010,0,0,0,0
21-08-2010,7.6,2,11,25
22-08-2010,18,15,11,63
23-08-2010,30,138,110,38
24-08-2010,2,38,7,27
25-08-2010,6,7,10,12
26-08-2010,5.8,5,12,0
27-08-2010,0,0,0,0
28-08-2010,0,0,0,0
29-08-2010,0,0,0,0
30-08-2010,30,11,10,2
31-08-2010,0,0,1,9
01-09-2010,0,0,0,0
02-09-2010,0,0,0,0
03-09-2010,13,51,29,3
04-09-2010,0,0,2,0
05-09-2010,0,1,2,16
06-09-2010,1,0,0,8
07-09-2010,0,0,0,0
08-09-2010,0,0,0,0
09-09-2010,0,0,0,0
10-09-2010,88,80,20,39
11-09-2010,7,0,2,3
12-09-2010,0,2,1,0
13-09-2010,0,0,1,2
14-09-2010,9.4,5,1,5
15-09-2010,0.8,0,0,0
16-09-2010,0,0,0,0
17-09-2010,0,0,0,0
18-09-2010,0,20,14,0
19-09-2010,0,0,0,0
20-09-2010,0,0,0,0
21-09-2010,0,0,0,0
22-09-2010,0,0,0,0
23-09-2010,0,0,0,0
24-09-2010,0,0,0,0
25-09-2010,1.4,0,0,0
26-09-2010,0,0,0,15
27-09-2010,6,90,28,2
28-09-2010,0,0,3,5
29-09-2010,0,0,0,0
30-09-2010,0,0,0,0
01-10-2010,0,0,0,10
02-10-2010,0,0,1,0
03-10-2010,6.2,12,18,34
04-10-2010,0,2,1,0
05-10-2010,0,0,0,0
06-10-2010,0,50,18,0
07-10-2010,8.2,5,1,7
08-10-2010,0,0,0,0
09-10-2010,0,0,0,0
10-10-2010,0,0,0,0
11-10-2010,0,0,0,0
12-10-2010,0,0,0,0
13-10-2010,0,0,0,0
14-10-2010,0,0,0,0
15-10-2010,0,0,0,0
16-10-2010,0,0,0,0
17-10-2010,0,4,9,2
18-10-2010,0,0,0,0
19-10-2010,0,0,0,0
20-10-2010,0,2,7,0
21-10-2010,0,0,0,9
22-10-2010,0,5,0,0
23-10-2010,0,0,0,0
24-10-2010,6.6,4,3,0
25-10-2010,0,0,0,0
26-10-2010,0,3,0,0
27-10-2010,1,0,0,0
28-10-2010,0,0,0,0
29-10-2010,15,45,60,72
30-10-2010,22,60,42,35
31-10-2010,14.2,3,12,13
01-11-2010,0,0,0,0
02-11-2010,2.4,40,25,4
03-11-2010,0,4,5,0
04-11-2010,5.4,0,0,5
05-11-2010,7.6,1,9,5
06-11-2010,2.2,0,0,12
07-11-2010,4.8,15,10,12
08-11-2010,21.8,37,41,49
09-11-2010,0,0,0,0
10-11-2010,0,0,0,16
